ID_Contrato,Proveedor,Nit,Objeto_Contrato,Vicepresidencia,Fecha_Inicio,Fecha_Fin,Valor_Contrato_USD,Estado_Contrato,Estado_HSE
CON-2026-001,Catering Energia Colombiana S.A.S.,900.350.328-2,Suministro de alimentacion,VRE - Refinación,2026-03-09,2026-08-02,112489,Activo,Aprobado
CON-2026-002,Proteccion Perimetral Colombiana S.A.S.,900.127.674-3,Monitoreo HSE,VCO - Corporativa,2025-08-14,2027-10-03,1285779,Activo,Aprobado
CON-2026-003,Ingenieria Andina de Petroleos S.A.S.,900.814.532-5,Inspeccion de ductos,VUP - Upstream,2025-08-09,2027-06-10,264350,Activo,En Alerta
CON-2026-004,Servicios Integrales de Refinacion S.A.S.,900.718.370-0,Apoyo logistico,VRE - Refinación,2026-01-23,2026-09-19,1207713,Activo,Aprobado
CON-2026-005,Servicios Integrales de Refinacion S.A.S.,900.691.296-1,Mantenimiento de bombas,VUP - Upstream,2025-10-24,2026-09-20,538197,Activo,Aprobado
CON-2026-006,Servicios Integrales de Refinacion S.A.S.,900.266.479-5,Transporte de personal,VTS - Transporte,2025-03-15,2026-12-23,1170172,Suspendido,Aprobado
CON-2026-007,Logistica Petrolera Nacional S.A.S.,900.376.755-8,Transporte de personal,VTS - Transporte,2025-02-27,2027-02-20,117319,En Liquidación,Aprobado
CON-2026-008,Transportes Oleoducto S.A.S.,900.316.680-5,Transporte de personal,VCO - Corporativa,2026-02-10,2027-10-13,349623,En Liquidación,Aprobado
CON-2026-009,Operaciones Industriales Orion S.A.S.,900.651.369-9,Servicios de catering,VCO - Corporativa,2026-01-06,2027-02-10,340102,Activo,Aprobado
CON-2026-010,PetroServicios del Caribe S.A.S.,900.981.212-2,Seguridad perimetral,VCO - Corporativa,2025-03-07,2027-07-30,850313,Activo,Aprobado
CON-2026-011,Catering Energia Colombiana S.A.S.,900.666.981-0,Suministro de alimentacion,VTS - Transporte,2025-12-15,2026-10-23,665514,Activo,Aprobado
CON-2026-012,Catering Energia Colombiana S.A.S.,900.612.880-2,Monitoreo HSE,VRE - Refinación,2025-11-02,2027-12-02,1327103,Activo,Aprobado
CON-2026-013,Ingenieria Andina de Petroleos S.A.S.,900.652.897-8,Mantenimiento de bombas,VTS - Transporte,2026-05-16,2026-07-20,284603,Activo,Aprobado
CON-2026-014,Catering Energia Colombiana S.A.S.,900.345.159-3,Ingenieria de campo,VRE - Refinación,2025-03-29,2027-11-10,195149,Suspendido,En Alerta
CON-2026-015,Mantenimiento Tecnico del Magdalena S.A.S.,900.662.269-4,Monitoreo HSE,VCO - Corporativa,2025-08-05,2027-01-22,703716,Suspendido,No Aprobado
CON-2026-016,Servicios Integrales de Refinacion S.A.S.,900.548.629-7,Suministro de alimentacion,VUP - Upstream,2025-08-19,2026-09-04,759016,Activo,Aprobado
CON-2026-017,Proteccion Perimetral Colombiana S.A.S.,900.325.107-1,Mantenimiento de bombas,VUP - Upstream,2025-03-11,2026-08-02,742958,Activo,Aprobado
CON-2026-018,Mantenimiento Tecnico del Magdalena S.A.S.,900.319.652-2,Ingenieria de campo,VCO - Corporativa,2025-09-06,2027-10-28,903666,Activo,Aprobado
CON-2026-019,Logistica Petrolera Nacional S.A.S.,900.462.533-6,Apoyo logistico,VRE - Refinación,2025-04-11,2026-09-01,894358,Activo,Aprobado
CON-2026-020,Transportes Oleoducto S.A.S.,900.354.296-3,Monitoreo HSE,VCO - Corporativa,2025-05-24,2027-09-06,434802,En Liquidación,En Alerta
CON-2026-021,Transportes Oleoducto S.A.S.,900.553.927-8,Suministro de alimentacion,VRE - Refinación,2025-01-16,2026-10-04,545723,Activo,Aprobado
CON-2026-022,Seguridad Industrial Llanos Ltda.,900.985.510-0,Seguridad perimetral,VCO - Corporativa,2025-01-03,2027-08-04,606171,Activo,Aprobado
CON-2026-023,Operaciones Industriales Orion S.A.S.,900.777.835-7,Seguridad perimetral,VUP - Upstream,2025-10-31,2027-02-08,172648,Suspendido,No Aprobado
CON-2026-024,Servicios Integrales de Refinacion S.A.S.,900.158.151-9,Apoyo logistico,VUP - Upstream,2025-02-28,2027-12-03,218005,Activo,Aprobado
CON-2026-025,Seguridad Industrial Llanos Ltda.,900.513.222-9,Transporte de personal,VRE - Refinación,2025-03-25,2027-09-03,1428611,Suspendido,No Aprobado
CON-2026-026,Catering Energia Colombiana S.A.S.,900.309.785-5,Transporte de personal,VTS - Transporte,2026-02-10,2026-11-12,1458636,Activo,Aprobado
CON-2026-027,Transportes Oleoducto S.A.S.,900.109.569-9,Ingenieria de campo,VRE - Refinación,2025-03-17,2027-02-04,1110917,Activo,Aprobado
CON-2026-028,Transportes Oleoducto S.A.S.,900.350.478-4,Seguridad perimetral,VCO - Corporativa,2025-11-06,2027-12-24,66406,Activo,No Aprobado
CON-2026-029,Transportes Oleoducto S.A.S.,900.999.237-4,Suministro de alimentacion,VRE - Refinación,2025-06-09,2027-04-05,640885,En Liquidación,Aprobado
CON-2026-030,Seguridad Industrial Llanos Ltda.,900.803.749-4,Monitoreo HSE,VCO - Corporativa,2025-09-15,2026-08-22,243563,Activo,En Alerta
CON-2026-031,PetroServicios del Caribe S.A.S.,900.103.441-2,Inspeccion de ductos,VUP - Upstream,2026-03-29,2027-09-11,1226306,Activo,En Alerta
CON-2026-032,Ingenieria Andina de Petroleos S.A.S.,900.658.136-5,Ingenieria de campo,VUP - Upstream,2026-03-17,2026-11-08,137721,Activo,Aprobado
CON-2026-033,PetroServicios del Caribe S.A.S.,900.466.315-3,Suministro de alimentacion,VTS - Transporte,2026-02-21,2026-12-06,546474,Activo,En Alerta
CON-2026-034,Logistica Petrolera Nacional S.A.S.,900.125.283-5,Servicios de catering,VUP - Upstream,2025-10-01,2026-12-11,276692,Suspendido,No Aprobado
CON-2026-035,Mantenimiento Tecnico del Magdalena S.A.S.,900.327.304-7,Mantenimiento electrico,VTS - Transporte,2025-08-22,2027-02-14,99627,Activo,Aprobado
CON-2026-036,Catering Energia Colombiana S.A.S.,900.985.171-4,Mantenimiento electrico,VCO - Corporativa,2025-12-06,2026-07-29,291889,En Liquidación,Aprobado
CON-2026-037,Catering Energia Colombiana S.A.S.,900.139.211-9,Servicios de catering,VTS - Transporte,2025-11-18,2027-09-20,1321312,Suspendido,Aprobado
CON-2026-038,Seguridad Industrial Llanos Ltda.,900.360.145-6,Mantenimiento de bombas,VUP - Upstream,2026-01-08,2027-09-15,196745,Suspendido,Aprobado
CON-2026-039,Transportes Oleoducto S.A.S.,900.837.407-8,Inspeccion de ductos,VCO - Corporativa,2025-12-01,2027-08-17,670033,Suspendido,No Aprobado
CON-2026-040,Logistica Petrolera Nacional S.A.S.,900.793.866-2,Ingenieria de campo,VTS - Transporte,2026-02-20,2026-07-01,687271,Activo,Aprobado
CON-2026-041,Proteccion Perimetral Colombiana S.A.S.,900.721.770-5,Apoyo logistico,VCO - Corporativa,2026-03-29,2027-02-04,1122009,Activo,Aprobado
CON-2026-042,Ingenieria Andina de Petroleos S.A.S.,900.774.186-4,Monitoreo HSE,VTS - Transporte,2025-04-06,2027-02-26,1460954,Activo,No Aprobado
CON-2026-043,Ingenieria Andina de Petroleos S.A.S.,900.125.147-3,Apoyo logistico,VRE - Refinación,2026-04-12,2027-08-29,1370713,Activo,En Alerta
CON-2026-044,Logistica Petrolera Nacional S.A.S.,900.606.509-3,Seguridad perimetral,VRE - Refinación,2025-04-20,2027-09-09,508943,Activo,En Alerta
CON-2026-045,Operaciones Industriales Orion S.A.S.,900.575.151-8,Transporte de personal,VRE - Refinación,2026-04-13,2026-11-14,1024427,Activo,No Aprobado
CON-2026-046,Proteccion Perimetral Colombiana S.A.S.,900.424.873-7,Ingenieria de campo,VCO - Corporativa,2026-04-02,2026-12-10,1045464,En Liquidación,No Aprobado
CON-2026-047,Catering Energia Colombiana S.A.S.,900.884.896-8,Apoyo logistico,VUP - Upstream,2025-10-09,2027-09-24,212494,Activo,En Alerta
CON-2026-048,Servicios Integrales de Refinacion S.A.S.,900.427.653-1,Seguridad perimetral,VUP - Upstream,2025-08-25,2027-07-28,370455,En Liquidación,Aprobado
CON-2026-049,Logistica Petrolera Nacional S.A.S.,900.438.655-7,Servicios de catering,VRE - Refinación,2025-07-31,2027-09-04,866792,En Liquidación,Aprobado
CON-2026-050,Proteccion Perimetral Colombiana S.A.S.,900.489.588-0,Mantenimiento electrico,VTS - Transporte,2026-02-04,2027-09-03,1178730,Suspendido,Aprobado
